"siteID","Sites","Description","Soil.characteristics","Products","Economic.interests","Other.services","Hypothetical.combinations","Link","lat","lon"
46,"Dehesilla","The dehesa (Spain) and montado (Portugal) are traditional Mediterranean agroforestry systems covering about 3.5 million hectares in the southwest Iberian Peninsula. They are vital for biodiversity, rural economies, and cultural heritage, providing high-quality livestock products and supporting tourism. Recognized under the EU Habitat Directive, they represent a low-intensity farming model where traditional land use and conservation coexist sustainably.","Variable","","","","","WP2_ES_Dehesa_system_description.pdf",NA,NA
47,"Los Varales","The dehesa (Spain) and montado (Portugal) are traditional Mediterranean agroforestry systems covering about 3.5 million hectares in the southwest Iberian Peninsula. They are vital for biodiversity, rural economies, and cultural heritage, providing high-quality livestock products and supporting tourism. Recognized under the EU Habitat Directive, they represent a low-intensity farming model where traditional land use and conservation coexist sustainably.","Haploxeralf Rhodoxeralf Neutral Very low SOC Sandy-clay loam","","","","","WP2_ES_Dehesa_system_description.pdf",NA,NA
48,"Casablanca","The dehesa (Spain) and montado (Portugal) are traditional Mediterranean agroforestry systems covering about 3.5 million hectares in the southwest Iberian Peninsula. They are vital for biodiversity, rural economies, and cultural heritage, providing high-quality livestock products and supporting tourism. Recognized under the EU Habitat Directive, they represent a low-intensity farming model where traditional land use and conservation coexist sustainably.","Xerochrept Very acid Low SOC Sandy-loam","","","","","WP2_ES_Dehesa_system_description.pdf",NA,NA
49,"La Higaleja","The dehesa (Spain) and montado (Portugal) are traditional Mediterranean agroforestry systems covering about 3.5 million hectares in the southwest Iberian Peninsula. They are vital for biodiversity, rural economies, and cultural heritage, providing high-quality livestock products and supporting tourism. Recognized under the EU Habitat Directive, they represent a low-intensity farming model where traditional land use and conservation coexist sustainably.","Variable","","","","","WP2_ES_Dehesa_system_description.pdf",NA,NA
50,"La Casilla","The dehesa (Spain) and montado (Portugal) are traditional Mediterranean agroforestry systems covering about 3.5 million hectares in the southwest Iberian Peninsula. They are vital for biodiversity, rural economies, and cultural heritage, providing high-quality livestock products and supporting tourism. Recognized under the EU Habitat Directive, they represent a low-intensity farming model where traditional land use and conservation coexist sustainably.","Xerochrept Mid acid Low SOC Sandy-loam","","","","","WP2_ES_Dehesa_system_description.pdf",NA,NA
51,"La Cabra","The dehesa (Spain) and montado (Portugal) are traditional Mediterranean agroforestry systems covering about 3.5 million hectares in the southwest Iberian Peninsula. They are vital for biodiversity, rural economies, and cultural heritage, providing high-quality livestock products and supporting tourism. Recognized under the EU Habitat Directive, they represent a low-intensity farming model where traditional land use and conservation coexist sustainably.","Xerochrept Mid acid Very low SOC Sandy-loam","","","","","WP2_ES_Dehesa_system_description.pdf",NA,NA
52,"Los Llanos","The dehesa (Spain) and montado (Portugal) are traditional Mediterranean agroforestry systems covering about 3.5 million hectares in the southwest Iberian Peninsula. They are vital for biodiversity, rural economies, and cultural heritage, providing high-quality livestock products and supporting tourism. Recognized under the EU Habitat Directive, they represent a low-intensity farming model where traditional land use and conservation coexist sustainably.","Xerochrept Mid acid Very low SOC Sandy-loam","","","","","WP2_ES_Dehesa_system_description.pdf",NA,NA
53,"throughout Greece","Valonia oak silvopastoral systems. They are open forests of old age trees that, in some occasions, are older than 400 years (Papadopoulos and Pantera, 2013). Most of these are widely open, discontinuous, remnants of old dense forests as a result of their intensive past use resulting in their evolution from high forests to silvopastoral systems. Typical dense forests of the species still exist in W. Greece. The species is also present in the form of individual trees or clusters in agricultural fields in several Aegean islands. 
Trees provide shade for the livestock in the summer and shelter in the winter, 
contribute to C sequestration, regulate water cycle, and protect soil from 
erosion.  Livestock promotes nutrient cycling.  ","Limestone soils (76%), 16.9% volcanic soils, 7.1% on fhlysch, schist, igneous and Neogene rocks","Acorns, acorn cups, wood as fuelwood, artifacts. Grass can be grazed directly by livestock or cut to provide animal feed (silage 
or hay). If the grass is not grazed or cut, then it needs to be mown  . Meat and all dairy products .","","Tourism, herbs (aromatic and medicinal). Valonia oak silvopastoral systems enhance biodiversity. Numerous plant taxa 
were recorded, some of them endemic to Greece or the Balkans. 
Cultural services 
Enhance employment in rural areas. The history of the tree is related with 
Greek history and mythology as it is one of the most frequently mentioned 
species in classical and contemporary literature. ","","WP2_GR_Valonia_oak_system_description.pdf",NA,NA
54,"Sardinia","The Sardinian silvopastoral systems have different and high levels of complexity. On private and public lands they are based on the use of i) trees and shrubs, ii) native and sowed pastures iii) annual forage crops (vetch + oats) and iv) cereals (barley, oats). Grazers are sheep, goats, beef cattle and pigs","Eutric and Dystric Cambisol. Dystric and Lithic Leptosol","Cork and timber wood. Sheep milk mainly for industrial cheese production (Pecorino Romano PDO, 
Pecorino Sardo PDO and Fiore Sardo PDO). Lamb meat (Agnello di Sardegna 
PGI). Cattle meat.","","Grazed oak woodlands and the associated agroforestry practices play an important socio-economic role in rural livelihoods and provide ecosystem services. From an ecological point of view, an adequate grazing management, related with the potential forage availability and quality, can encourage the conservation of high biodiversity. Grazed oak woodland in public forests give social and environmental benefits 
such as wildfire protection, wildlife habitat, and areas of high cultural value for 
tourism .","","WP2_I_Grazed_Oak_Woodlands_system_description.pdf",39.665,9.0748
55,"throughout Brittany (western France)","Bocage agroforestry systems consist of hedgerows planted on field boundaries, often organized into a spatial network at the landscape scale. They include high-stem and medium stem trees associated with an herbaceous stratum on the ground. Their purpose was traditionally to delimitate property boundaries, to provide protection for livestock (shelter) and crops (windbreaks), and to produce adequate resources of firewood and timber. They are associated with mixed livestock-cropping farming systems. Traditional hedgerows in Brittany are characterized by a diversity of boundary structures (e.g. with or without bank), of management regimes by farmers, and of vegetation structures and composition (Baudry and Jouin 2003). The recognition of the environmental value of hedgerows (see, for instance, Baudry et al. 2000) has led to the implementation of several programs of hedgerow plantations throughout Brittany. Amongst them, a few programs rely on innovative approaches, promoting adaptive design and management of hedgerows by farmers, as well as spatial connections between hedgerows on the farm. We focus on the evaluation of these innovative agroforestry systems.","Varied","Firewood, timber, mulch . silage maize provided animal feed. Grass can be grazed directly by 
livestock or cut to provide animal feed (silage or hay).   milk, beef, pork, and eggs ","","The trees modify the microclimate: wind speed, evapotranspiration, 
temperature. They can provide shelter for cattle. 
The trees can improve water infiltration, reduce runoff and reduce nutrient 
leaching. Denitrification can also be enhanced in the tree rooting zone. 
The trees and associated vegetation increase carbon storage.  . The hedgerow is a stable semi-natural habitat and refuge for several plant 
and animal species. The tree layer can create suitable microclimatic 
conditions for plant and insect species associated to semi-natural habitats such as forests. The trees can provide nesting resources for birds or 
invertebrates (e.g. pollinators) early in the season. The herbaceous layer on 
hedgerow banks can provide food resources and overwintering sites for 
beneficial insects (e.g. pollinators, natural enemies of crop pests), for flagship 
species such as butterflies, but also for species that are detrimental to 
provisioning services (crop pests, e.g. aphids or weeds). Hedgerows can act as 
corridors between habitats for species associated to semi-natural habitats, 
but also as barriers for species of open habitats. ","","WP2_F_Bocage_system_description.pdf",NA,NA
